,QUARTER,SKILL_COUNT,COUNT,SKILL_RATIO,GROUP,TYPE
68,2018-Q4,101,354035,0.000285,TensorFlow,
69,2024-Q2,160,396924,0.000403,TensorFlow,
70,2021-Q1,218,340041,0.000641,TensorFlow,
71,2020-Q4,176,318413,0.000553,TensorFlow,
72,2019-Q3,116,337576,0.000344,TensorFlow,
73,2023-Q1,135,576518,0.000234,TensorFlow,
74,2021-Q2,229,431921,0.00053,TensorFlow,
75,2019-Q4,133,312871,0.000425,TensorFlow,
76,2020-Q3,157,270403,0.000581,TensorFlow,
77,2022-Q3,181,503673,0.000359,TensorFlow,
78,2019-Q2,134,283172,0.000473,Boosting,
79,2020-Q1,153,363402,0.000421,Boosting,
80,2019-Q1,126,318484,0.000396,Boosting,
81,2024-Q1,211,437134,0.000483,Boosting,
82,2020-Q2,41,186383,0.00022,Boosting,
83,2021-Q4,186,511861,0.000363,Boosting,
84,2022-Q2,173,578532,0.000299,Boosting,
85,2022-Q1,129,596705,0.000216,Boosting,
86,2022-Q4,163,502009,0.000325,Boosting,
87,2023-Q3,206,506220,0.000407,Boosting,
88,2023-Q4,169,441052,0.000383,Boosting,
89,2023-Q2,186,551084,0.000338,Boosting,
90,2018-Q2,110,403022,0.000273,Boosting,
91,2021-Q3,144,488580,0.000295,Boosting,
92,2018-Q1,96,449189,0.000214,Boosting,
93,2018-Q3,108,378586,0.000285,Boosting,
94,2018-Q4,114,354035,0.000322,Boosting,
95,2024-Q2,256,396924,0.000645,Boosting,
96,2020-Q4,71,318413,0.000223,Boosting,
97,2021-Q1,66,340041,0.000194,Boosting,
98,2019-Q3,139,337576,0.000412,Boosting,
99,2023-Q1,183,576518,0.000317,Boosting,
100,2019-Q4,119,312871,0.00038,Boosting,
101,2021-Q2,121,431921,0.00028,Boosting,
102,2020-Q3,43,270403,0.000159,Boosting,
103,2022-Q3,116,503673,0.00023,Boosting,
104,2019-Q2,27,283172,9.5e-05,PyTorch (Machine Learning Library),
105,2020-Q1,54,363402,0.000149,PyTorch (Machine Learning Library),
106,2019-Q1,32,318484,0.0001,PyTorch (Machine Learning Library),
107,2024-Q1,138,437134,0.000316,PyTorch (Machine Learning Library),
108,2020-Q2,62,186383,0.000333,PyTorch (Machine Learning Library),
109,2021-Q4,168,511861,0.000328,PyTorch (Machine Learning Library),
110,2022-Q2,260,578532,0.000449,PyTorch (Machine Learning Library),
111,2022-Q1,184,596705,0.000308,PyTorch (Machine Learning Library),
112,2022-Q4,160,502009,0.000319,PyTorch (Machine Learning Library),
113,2023-Q3,163,506220,0.000322,PyTorch (Machine Learning Library),
114,2023-Q4,124,441052,0.000281,PyTorch (Machine Learning Library),
115,2023-Q2,114,551084,0.000207,PyTorch (Machine Learning Library),
116,2018-Q2,11,403022,2.7e-05,PyTorch (Machine Learning Library),
117,2021-Q3,152,488580,0.000311,PyTorch (Machine Learning Library),
118,2018-Q1,14,449189,3.1e-05,PyTorch (Machine Learning Library),
119,2018-Q3,25,378586,6.6e-05,PyTorch (Machine Learning Library),
120,2018-Q4,22,354035,6.2e-05,PyTorch (Machine Learning Library),
121,2024-Q2,161,396924,0.000406,PyTorch (Machine Learning Library),
122,2021-Q1,145,340041,0.000426,PyTorch (Machine Learning Library),
123,2020-Q4,124,318413,0.000389,PyTorch (Machine Learning Library),
124,2019-Q3,45,337576,0.000133,PyTorch (Machine Learning Library),
125,2023-Q1,124,576518,0.000215,PyTorch (Machine Learning Library),
126,2021-Q2,143,431921,0.000331,PyTorch (Machine Learning Library),
127,2019-Q4,49,312871,0.000157,PyTorch (Machine Learning Library),
128,2020-Q3,102,270403,0.000377,PyTorch (Machine Learning Library),
129,2022-Q3,140,503673,0.000278,PyTorch (Machine Learning Library),
